FID,geom,id,title,description,addresslocality,streetaddress,postalcode,email,openinghours,license,telephone
MRN_Refill_4326_Point.164,POINT (8.656600019268971 49.29330001086616),52abd0fc28a04b1e867481579b566484,Tari-Bikes,Fahrradladen mit Werkstatt. refill refill-station,Walldorf,Wieslocher Straße 34,69190,tari@tari-bikes.de,Mo-Fr 10:00-19:00 Sa 10:00-14:00,CC0-1.0,496227359640
MRN_Refill_4326_Point.165,POINT (8.64400000713952 49.30039998576995),131c11af107749868b5e603ff84b5473,Hotel Vorfelder,Südlich von Heidelberg. Im Herzen von Walldorf gelegen. bietet Ihnen unser Vier-Sterne-First-Class-Hotel den Komfort eines privat geführten Hauses mit einer über die Grenzen Walldorfs hinaus bekannten Küche. ,Walldorf,Bahnhofstraße 28,69190,info@hotel-vorfelder.de,07:00-22:00,CC0-1.0,06227 6990
MRN_Refill_4326_Point.166,POINT (8.64370001882487 49.303200002435226),be6e6025bfaf4f1ca414b8f08f0af8aa,fitbox Walldorf Drehscheibe,Fitnessstudio für EMS Training,Walldorf,Johann-Jakob-Astor-Straße 6,69190,drehscheibe@fitbox.de,Mo-Fr 9:00-20:00 Sa 9:00-16:00,CC0-1.0,+49 6227 398 2561
MRN_Refill_4326_Point.167,POINT (8.64180000901306 49.302900014120574),1ca7fea77c7247279709340fc44906d0,Stadt-Apotheke,Moderne qualitäts- und serviceorientierte Apotheke mit Spezialisierung auf Homöopathie und Naturkosmetik.,Walldorf,Hauptstraße 8,69190,,Mo-Fr 8:00-13:00;14:00-18:30 Sa 08:00-13:00,CC0-1.0,0 62 27 8 29 70
MRN_Refill_4326_Point.168,POINT (8.643200038300455 49.30249998779153),8a2230d447c64e3f8c5be692b899e814,JUMP (Jugendkulturhaus mit Pep),JUGENDTREFF. KONZERTE. KINO. DISCO. KURSE. CAFÉ. WLAN. WERKSTATT. PROBERAUM. MEDIENRAUM UND MEHR  für Kinder Jugendliche und Erwachsene,Walldorf,Bahnhofstraße 5,69190,,Mo-Fr 9:00-20:00,CC0-1.0,
MRN_Refill_4326_Point.169,POINT (8.645099964293232 49.30379997906452),f1670620f3544ab184c323bd20578fd2,Fachwerk; Kunst-Kitsch-Design,Nähkurse. Nähgeburtstage. Stoffe. Selbstgemachtes. Außergewöhnliche Geschenkideen für Erwachsene und Kinder sowie Kleidung aus fairem Handel bzw. biologischem Anbau,Walldorf,Nußlocher Straße 11,69190,,nach Vereinbarung,CC0-1.0,06227 398 44 66
MRN_Refill_4326_Point.170,POINT (8.654200028932747 49.292599996222464),e1169eee262a40cba4eb720ab11226ff,Gröner Bettenfachgeschäft,Fachgeschäft für Wasserbetten. Luftbetten. Matratzen. Boxspringbetten. Bettwaren aller Art und Zubehör. Pflegemittel. Verkauf von Möbeln aus eigener Fertigung,Walldorf,Kleinfeldweg 52,69190,,Mo;Di;Do 12:00-18:00 Do 12:00-20:00 Sa 10:00-14:00,CC0-1.0,
MRN_Refill_4326_Point.171,POINT (8.642699973957008 49.30300001022545),f46322e319e14410bd06025d6602afc4,Central Apotheke Walldorf,Kompetenter Service rund um die Gesundheit.  Seit 1973 ist die Central Apotheke Walldorf Ihre zuverlässige Apotheke in Walldorf.  Beratung rund um Ihre Medikamente. Kosmetik und Pflegeprodukte. Serviceleistungen.,Walldorf,Hauptstraße 1,69190,,Mo-Fr 08:00-19:00 Sa 8:00-14:00,CC0-1.0,
MRN_Refill_4326_Point.172,POINT (8.647800026763138 49.304699985917985),d7f933bfe4884135b98a63e3eb38475b,Astoria Apotheke Walldorf,Kompetenter Service rund um die Gesundheit. Beratung rund um Ihre Medikamente mit großem Lager. Kosmetik und Pflegeprodukte. Serviceleistungen.,Walldorf,Nußlocher Str. 26a,69190,,Mo-Fr 08:00-13:00;14:00-18:00,CC0-1.0,
MRN_Refill_4326_Point.173,POINT (8.468183720702392 49.475612900906995),aed13856ae2d4307b1efc9f41346c8fa,grünkern,Der Mannheimer Unverpacktladen mit biologisch produziertem und veganem Lebensmittel- und Non-Food Sortiment. Wir verbinden ökologisches und soziales Bewusstsein mit Gelassenheit.,Mannheim,Meerfeldstraße 24,68163,hallo@gruenkern-unverpackt.de,Mo;Di;Do;Fr 10:00-19:00 Sa 10:00-16:00,CC0-1.0,+49 621 484 954 29
MRN_Refill_4326_Point.174,POINT (8.726299986581457 49.247699984930314),b3a0d264295b49d19a07f6765b6e502e,Bücherei Mühlhausen ,Öffentliche Bücherei im Bürgerhaus Mühlhausen ,Mühlhausen ,Schulstr. 6 / Bürgerhaus,69242,buecherei@muehlhausen-kraichgau.de,Mo 9.30-11.30 Di; Mi; Do 15.30-18.30 * Ferienöffnungszeiten,CC0-1.0,6222615850
MRN_Refill_4326_Point.175,POINT (8.353766132310856 49.44188361961482),349504b4e7984d28bb05e95e8be0242b,ReiseCenter Mutterstadt,Wir haben für Sie geöffnet: Mo-Fr 9:30-12:30;14:30-18:00,Mutterstadt,Neustadter Str. 8,67112,info@rcm24.de,,CC0-1.0,6234929433
MRN_Refill_4326_Point.176,POINT (8.433940712564597 49.317871685753516),ac37cec7b4f44bfa92b27671d140b21b,chamäleon - Hermann & Kurtz GbR,Öffnungszeiten Mo-Fr 11:00-18:00 Sa 11:00-16:00,Speyer,Wormser Straße 52,67346,,,CC0-1.0,
MRN_Refill_4326_Point.177,POINT (8.468844214672616 49.48748230444616),3857465138ca4751b5c3bf0f37c5a7a9,STA Travel Mannheim,Öffnungszeiten Mo-Fr 10:00-19:00 Sa 10:00-16:00 Wir sind barrierefrei,Mannheim,P3 6,68161,,,CC0-1.0,
MRN_Refill_4326_Point.178,POINT (8.70626246030734 49.41175369518425),157f5fd9abeb4b0da08f479dc23eb7d2,Starbucks Hauptstraße 137,Öffnungszeiten: Mo-Do 07:30-21:00 Fr;Sa 07:30-22:00 So 09:00-20:00,Heidelberg,Hauptstraße 137,69117,,,CC0-1.0,
MRN_Refill_4326_Point.179,POINT (8.605507709367902 49.51204735763001),f51f03bf784348039424566b153e897a,Starbucks Rhein Neckar Zentrum,Öffnungszeiten: Mo-Sa 08:30-20:15,Viernheim,Robert-Schumann-Straße 2,68519,,,CC0-1.0,
MRN_Refill_4326_Point.180,POINT (8.69437206010072 49.41030840361971),f0f71f729f6940caa48afcfbf7ae8e44,Starbucks SOF Heidelberg,Öffnungszeiten: Mo-Sa 9:30-20:00  ,Heidelberg,Hauptstr. 9-13,69117,,,CC0-1.0,
MRN_Refill_4326_Point.181,POINT (8.472515739720555 49.48471296554651),83461e1e0e3145e89ab4e612829956c3,Starbucks Am Wasserturm,Caffee-Haus Kette die in der EU keine Steuern zahlt,Mannheim,O7 18A,68161,,,CC0-1.0,
